Compound,Date,Media,Negative,Neutral,Positive,Tweet Count,Tweet Text
0.7525,Wed Jan 31 01:16:15 +0000 2018,@CBS,0.0,0.651,0.349,155,Do you remember this Super Bowl commercial featuring @KevinHart4real playing an overprotective father?… https://t.co/ejLnTEG5ug
0.0,Wed Jan 31 01:08:01 +0000 2018,@CBS,0.0,1.0,0.0,156,RT @dRoy: Homework will take a break for now. #superbowlcommercials on cbs is on 👌
0.8516,Wed Jan 31 01:04:34 +0000 2018,@CBS,0.0,0.42,0.58,157,RT @Mixxxalv: Watching #superbowlcommercials let the best win!
0.8442,Wed Jan 31 01:00:35 +0000 2018,@CBS,0.0,0.649,0.351,158,Super Bowl Greatest Commercials 2018 hosts @7BOOMERESIASON and @DanielaRuah are moments away from announcing the tw… https://t.co/cKM1WXPc9u
0.923,Wed Jan 31 00:55:04 +0000 2018,@CBS,0.0,0.594,0.406,159,It's Man vs. Beast as these classic Super Bowl spots face off tonight on Super Bowl Greatest Commercials 2018! Tune… https://t.co/GcoSAcfeUd
0.5994,Wed Jan 31 00:37:20 +0000 2018,@CBS,0.0,0.794,0.206,160,"Tonight, get a first look at #ChrisElliott starring in the new @AvosfromMexico Super Bowl Commercial on… https://t.co/WMEjsZfgdg"
0.8834,Wed Jan 31 00:11:53 +0000 2018,@CBS,0.0,0.593,0.407,161,"Join @NCISLA's @DanielaRuah and @7BOOMERESIASON on Super Bowl Greatest Commercials 2018, tonight at 8/7c on CBS and… https://t.co/nzVu1FCRc5"
0.8553,Tue Jan 30 23:35:01 +0000 2018,@CBS,0.0,0.724,0.276,162,Everyone knows the best part of the Super Bowl is the commercials! Find out how to tune in and vote for your favori… https://t.co/KGDYl9oF98
0.8553,Tue Jan 30 21:19:22 +0000 2018,@CBS,0.0,0.694,0.306,163,Throw it back to this classic Michael Jordan vs. Larry Bird spot tonight on Super Bowl Greatest Commercials 2018! W… https://t.co/g2H4zV7wIN
0.9215,Tue Jan 30 18:46:04 +0000 2018,@CBS,0.0,0.609,0.391,164,"Super Bowl Greatest Commercials 2018 airs tonight! Cast your vote now, then tune in and vote for the winner live at… https://t.co/h4jGpUheP5"
0.0,Tue Jan 30 16:00:02 +0000 2018,@CBS,0.0,1.0,0.0,165,Remember when @robinthicke and Lil Wayne (@liltunechi) joined jazz legends on stage at the 51st #GRAMMYs? Watch thi… https://t.co/2l8gBdOrli
0.5994,Tue Jan 30 04:03:31 +0000 2018,@CBS,0.0,0.813,0.187,166,"Tomorrow, catch a sneak peek of the incredible @TiffanyHaddish in her first Super Bowl Commercial for @Groupon on… https://t.co/RlehujNvFN"
0.6908,Tue Jan 30 03:17:51 +0000 2018,@CBS,0.0,0.711,0.289,167,Rapper @Logic301 delivered a poignant message of hope to conclude his powerful performance with @alessiacara and… https://t.co/elSqZExRtN
0.0,Tue Jan 30 02:12:15 +0000 2018,@CBS,0.0,1.0,0.0,168,Even our host @JKCorden was starstruck when Broadway icon Patti LuPone performed at The #GRAMMYs! https://t.co/YJhNBllFh6
-0.296,Tue Jan 30 01:29:06 +0000 2018,@CBS,0.115,0.885,0.0,169,Childish Gambino serenaded the crowd with his smooth vocals in this mesmerizing performance. Watch him perform 'Ter… https://t.co/TkWZP7PS22
0.0,Tue Jan 30 00:11:05 +0000 2018,@CBS,0.0,1.0,0.0,170,.@OfficialSting and @shaggy757 joined together to bring their upbeat reggae vibes to Madison Square Garden. Watch t… https://t.co/iqq0DbM1IR
0.3818,Mon Jan 29 22:45:21 +0000 2018,@CBS,0.0,0.885,0.115,171,Superstar @Pink left it all on the stage last night in a simply stunning performance that brought the crowd to thei… https://t.co/B9Tj5INcNu
0.5093,Mon Jan 29 22:10:15 +0000 2018,@CBS,0.079,0.758,0.162,172,Check out these photos of the night's best backstage moments you didn't see on TV! Here's what you missed at The 60… https://t.co/6TBI8NV8JJ
0.0,Mon Jan 29 20:00:04 +0000 2018,@CBS,0.0,1.0,0.0,173,The dapper duo of @itstonybennett and @johnlegend brought down the #GRAMMYs house with an impromptu duet.… https://t.co/ucRrAFk59f
0.7783,Mon Jan 29 19:00:05 +0000 2018,@CBS,0.0,0.714,0.286,174,🎶@BrunoMars worked his 24K Magic to become the night's biggest winner. See his #GRAMMYs acceptance speech for Album… https://t.co/dXzjWH0myx
0.9259,Mon Jan 29 18:00:02 +0000 2018,@CBS,0.0,0.558,0.442,175,When your win at The #GRAMMYs feels like 24K Magic! Congratulations to @BrunoMars for taking home six awards this y… https://t.co/UhWCE8OKfK
0.0,Mon Jan 29 17:15:04 +0000 2018,@CBS,0.0,1.0,0.0,176,✨@LadyGaga's stripped-down performance soared on the #GRAMMYs stage. See all the night's performances here:… https://t.co/Dw6xSzeeGC
0.5106,Mon Jan 29 16:00:05 +0000 2018,@CBS,0.0,0.837,0.163,177,"Relive epic GRAMMY rock performances from @Metallica, @beck, @coldplay and more on @AppleMusic. Start your free tri… https://t.co/xmkaZGjlMM"
0.1531,Mon Jan 29 15:00:03 +0000 2018,@CBS,0.0,0.914,0.086,178,"The #GRAMMYs were full of emotional performances, stirring speeches, and jaw-dropping fashion. See all the red carp… https://t.co/yqpOW9tWm3"
0.3182,Mon Jan 29 14:00:02 +0000 2018,@CBS,0.123,0.741,0.136,179,Watch @BrunoMars and @iamcardib pull out all the stops at the #GRAMMYs for their fun and funky duet of 'Finesse.'… https://t.co/z1ZTosotw9
0.6597,Mon Jan 29 13:00:01 +0000 2018,@CBS,0.0,0.707,0.293,180,"With his powerful single 'Pray,"" @samsmithworld captivated the #GRAMMYs crowd. Watch the full performance:… https://t.co/159qGVFyxW"
0.0,Mon Jan 29 12:00:03 +0000 2018,@CBS,0.0,1.0,0.0,181,Music's biggest stars came together for a night of celebration and song at the The 60th Annual #GRAMMYs! Stream the… https://t.co/flFIflTQ5s
0.0,Mon Jan 29 08:18:18 +0000 2018,@CBS,0.0,1.0,0.0,182,The stage was packed with star power from start to finish on Music's Biggest Night®! Catch up on all the live perfo… https://t.co/Mzqp82FiUS
0.5719,Mon Jan 29 07:40:26 +0000 2018,@CBS,0.0,0.73,0.27,183,See who won big on Music's Biggest Night®️: https://t.co/yyb8bwMqEx #GRAMMYs https://t.co/OgV3UcK3jw
0.3612,Mon Jan 29 07:25:04 +0000 2018,@CBS,0.0,0.878,0.122,184,Get ready to sing along as @eltonofficial and @MileyCyrus deliver an unforgettable rendition of the iconic song 'Ti… https://t.co/upVo9SZUCh
0.7506,Mon Jan 29 07:01:01 +0000 2018,@CBS,0.0,0.686,0.314,185,"See @littlebigtown belt out a heartfelt version of their hit song 'Better Man,' written by @taylorswift13:… https://t.co/mQJZ4lIOtZ"
0.5719,Mon Jan 29 06:15:02 +0000 2018,@CBS,0.0,0.734,0.266,186,See @U2's intense #GRAMMYs performance in front of the majestic Statue of Liberty: https://t.co/Y1ZhzDYPdt https://t.co/SOf9kpMHOq
0.0,Mon Jan 29 05:34:44 +0000 2018,@CBS,0.0,1.0,0.0,187,"Relive @LuisFonsi, @daddy_yankee, and @zuleyka_rivera's electric performance of 'Despacito' that lit up the… https://t.co/9m1mytX9VW"
0.0,Mon Jan 29 04:19:55 +0000 2018,@CBS,0.0,1.0,0.0,188,We caught up with @imjmichaels on the #GRAMMYs red carpet and learned all about how @IBM is using Watson and AI to… https://t.co/sJpn44xPnV
0.8779,Mon Jan 29 04:12:46 +0000 2018,@CBS,0.0,0.641,0.359,189,"It was real y'all. Congratulations to everyone who won and all who were nominated. Finally, thank you to everyone w… https://t.co/jqBkGTtEyM"
0.7959,Mon Jan 29 04:10:47 +0000 2018,@CBS,0.0,0.706,0.294,190,Drippin' in finesse 🙌 @BrunoMars wins Album Of The Year at The #GRAMMYs! See all of the winners here:… https://t.co/BK4bF9ggSI
0.5859,Mon Jan 29 03:58:49 +0000 2018,@CBS,0.0,0.513,0.487,191,That. Performance. Wow. #GRAMMYs https://t.co/rDg37rzQvn
0.6696,Mon Jan 29 03:55:24 +0000 2018,@CBS,0.0,0.848,0.152,192,"RT @CBSNews: ""My father, if you are watching this dad, I love you. Look at me, pop, look at me, I'm at the #Grammys right now!"" @BrunoMars…"
